24.69,53.75,0
24.68,53.77,0
24.69,53.78,0
24.68,53.73,0
24.68,53.71,0
24.68,53.72,0
24.68,53.98,0
24.68,54.57,0
24.68,57.76,0
24.70,62.36,0
24.73,66.45,0
24.74,69.64,0
24.73,70.84,0
24.76,72.73,0
24.80,75.08,0
24.83,77.38,0
24.86,79.40,0
24.90,81.09,1
24.95,82.59,1
24.99,83.84,1
25.06,84.91,1
25.09,85.82,1
25.16,86.65,1
25.20,87.29,1
25.27,87.86,1
25.31,88.38,1
25.37,88.82,1
25.42,89.18,1
25.48,89.50,1
25.53,89.84,1
25.59,90.16,1
25.65,90.37,1
25.68,90.62,1
25.75,90.74,1
25.74,90.41,1
25.78,89.57,1
25.78,87.97,1
25.81,85.53,1
25.81,82.47,1
25.82,77.38,0
25.81,72.47,0
25.83,68.61,0
25.83,65.62,0
25.83,63.38,0
25.83,61.58,0
25.85,60.19,0
25.85,59.11,0
25.85,58.29,0
25.86,57.58,0
25.85,56.93,0
25.85,56.41,0
25.84,56.04,0
25.83,55.72,0
25.82,55.52,0
25.82,55.36,0
25.81,55.28,0
25.81,55.38,0
25.81,56.96,0
25.83,61.69,0
25.83,66.68,0
25.86,70.87,0
25.88,74.14,0
25.89,76.63,0
25.88,78.58,0
25.93,80.11,1
25.95,81.41,1
25.98,82.50,1
26.01,83.47,1
26.04,84.31,1
26.06,85.09,1
26.10,85.80,1
26.13,86.44,1
26.16,87.03,1
26.18,87.49,1
26.22,87.92,1
26.27,88.33,1
26.30,88.68,1
26.35,89.03,1
26.37,89.33,1
26.41,89.60,1
26.43,89.83,1
26.46,90.04,1
26.50,90.22,1
26.53,90.44,1
26.55,90.56,1
26.55,89.49,1
26.52,85.74,1
26.50,80.39,1
26.50,75.34,0
26.47,71.08,0
26.49,67.37,0
26.48,64.71,0
26.45,62.82,0
26.46,61.42,0
26.44,60.23,0
26.44,59.22,0
26.42,59.11,0
26.42,59.07,0
26.39,58.73,0
26.40,58.30,0
26.38,57.30,0
26.42,56.32,0
26.52,55.70,0
26.54,55.51,0
26.54,55.06,0
26.56,54.59,0
26.60,54.37,0
26.68,54.19,0
26.96,54.08,0
27.38,53.94,0
27.73,53.43,0
27.97,52.85,0
28.15,52.31,0
28.20,51.89,0
28.25,51.67,0
28.39,51.48,0
28.53,51.31,0
28.65,51.10,0
28.80,50.95,0
29.00,50.65,0
29.19,50.31,0
29.34,50.03,0
29.44,49.81,0
29.55,49.55,0
